modelId,name,inputPerMillion,outputPerMillion
gpt-4o,"GPT-4o",21.24,84.96
gpt-4o-mini,"GPT-4o Mini",1.3,5.18
gpt-4.1-nano,"GPT-4.1 Nano",0.86,3.46
gpt-4.1-mini,"GPT-4.1 Mini",3.46,13.82
gpt-4.1,"GPT-4.1",16.99,67.97
gpt-5-nano,"GPT-5 Nano",0.43,3.46
gpt-5-mini,"GPT-5 Mini",2.16,17.28
gpt-5,"GPT-5",10.62,84.96
gpt-5-pro,"GPT-5 Pro",127.44,1019.52
gpt-5.1,"GPT-5.1",10.62,84.96
gpt-5.2,"GPT-5.2",14.87,118.94
gpt-5.4-nano,"GPT-5.4 Nano",1.73,10.8
gpt-5.4-mini,"GPT-5.4 Mini",6.48,38.88
gpt-5.4,"GPT-5.4",21.24,127.44
gpt-5.4-pro,"GPT-5.4 Pro",254.88,1529.28
gpt-5.5,"GPT-5.5",42.48,254.88
gpt-5.5-pro,"GPT-5.5 Pro",254.88,1529.28
gpt-5.6-luna,"GPT-5.6 Luna",8.64,51.84
gpt-5.6-terra,"GPT-5.6 Terra",21.24,127.44
gpt-5.6-sol,"GPT-5.6 Sol",42.48,254.88
gemini-2.5-flash,"Gemini 2.5 Flash",2.59,21.6
gemini-2.5-flash-lite,"Gemini 2.5 Flash-Lite",0.83,3.31
gemini-2.5-pro,"Gemini 2.5 Pro",10.62,84.96
gemini-3-flash-preview,"Gemini 3 Flash Preview",4.32,25.92
gemini-3.1-pro-preview,"Gemini 3.1 Pro Preview",16.99,101.95
gemini-3.1-flash-lite,"Gemini 3.1 Flash-Lite",2.07,12.42
gemini-3.5-flash,"Gemini 3.5 Flash",12.96,77.76
gemini-3.5-flash-lite,"Gemini 3.5 Flash-Lite",2.48,20.7
gemini-3.6-flash,"Gemini 3.6 Flash",12.96,64.8
deepseek-v4-flash,"DeepSeek V4 Flash",1.16,2.32
deepseek-v4-pro,"DeepSeek V4 Pro",3.7,7.39
