modelId,name,inputPerMillion,outputPerMillion,perRequestYuan
gpt-4o,"GPT-4o",21.24,84.96,
gpt-4o-mini,"GPT-4o Mini",1.3,5.18,
gpt-4.1-nano,"GPT-4.1 Nano",0.86,3.46,
gpt-4.1-mini,"GPT-4.1 Mini",3.46,13.82,
gpt-4.1,"GPT-4.1",16.99,67.97,
gpt-5-nano,"GPT-5 Nano",0.86,3.46,
gpt-5-mini,"GPT-5 Mini",2.16,8.64,
gpt-5,"GPT-5",21.24,84.96,
gpt-5-pro,"GPT-5 Pro",42.48,169.92,
gpt-5.1,"GPT-5.1",23.36,93.46,
gpt-5.2,"GPT-5.2",24.21,96.85,
gpt-5.2-pro,"GPT-5.2 Pro",46.73,186.91,
gpt-5.4-nano,"GPT-5.4 Nano",1.04,4.15,
gpt-5.4-mini,"GPT-5.4 Mini",2.59,10.37,
gpt-5.4,"GPT-5.4",23.79,95.16,
gpt-5.4-pro,"GPT-5.4 Pro",46.73,186.91,
gpt-5.5,"GPT-5.5",25.49,101.95,
gpt-5.5-pro,"GPT-5.5 Pro",50.98,203.9,
gpt-image-1-mini,"GPT Image 1 Mini",0,0,0.1
gpt-image-1,"GPT Image 1",0,0,0.59
gpt-image-1.5,"GPT Image 1.5",0,0,0.47
gpt-image-2,"GPT Image 2",0,0,0.5
gemini-2.5-flash,"Gemini 2.5 Flash",1.3,5.18,
gemini-2.5-flash-lite,"Gemini 2.5 Flash-Lite",0.83,3.31,
gemini-2.5-pro,"Gemini 2.5 Pro",10.62,84.96,
gemini-3-flash-preview,"Gemini 3 Flash Preview",1.73,6.91,
gemini-3-pro-preview,"Gemini 3 Pro Preview",12.74,101.95,
gemini-3.1-pro-preview,"Gemini 3.1 Pro Preview",13.59,110.45,
gemini-3.1-flash-lite-preview,"Gemini 3.1 Flash Lite Preview",0.83,3.31,
gemini-3.1-flash-lite,"Gemini 3.1 Flash Lite",0.83,3.31,
gemini-3.5-flash,"Gemini 3.5 Flash",2.16,8.64,
gemini-2.5-flash-image,"Gemini 2.5 Flash Image",0,0,0.37
gemini-3-pro-image-preview,"Gemini 3 Pro Image Preview",0,0,1.25
gemini-3-pro-image,"Gemini 3 Pro Image",0,0,1.25
nano-banana-pro-preview,"Nano Banana Pro Preview",0,0,1.25
gemini-3.1-flash-image-preview,"Gemini 3.1 Flash Image Preview",0,0,0.63
gemini-3.1-flash-image,"Gemini 3.1 Flash Image",0,0,0.63
imagen-4.0-generate-001,"Imagen 4",0,0,0.37
imagen-4.0-ultra-generate-001,"Imagen 4 Ultra",0,0,0.56
imagen-4.0-fast-generate-001,"Imagen 4 Fast",0,0,0.19
veo-2.0-generate-001,"Veo 2",0,0,26.21
veo-3.0-generate-001,"Veo 3",0,0,29.95
veo-3.0-fast-generate-001,"Veo 3 Fast",0,0,7.49
veo-3.1-generate-preview,"Veo 3.1 Preview",0,0,29.95
veo-3.1-fast-generate-preview,"Veo 3.1 Fast Preview",0,0,7.49
veo-3.1-lite-generate-preview,"Veo 3.1 Lite Preview",0,0,3.74
deepseek-v4-flash,"DeepSeek V4 Flash",1.16,2.32,
deepseek-v4-pro,"DeepSeek V4 Pro",3.7,7.39,
